Give 10% tax on your groceries,-10,Get a grocery discount card,30
Give away old clothes,-25,Get a closet makeover,40
Give up watching TV for a week,-60,Get a free movie night with snacks,50
Give 10% of your paycheck to charity,-50,Get a tax deduction,30
Give up your morning coffee to your boss,-40,Get an extra hour of sleep,25
Give away your used books,-20,Get a new bestseller,25
Give a meal to a homeless person,-50,Get a home-cooked meal plan,70
Give away your old phone,-45,Get a discount on the latest model,35
Donate healthy snacks to a school,-30,Get a weekly fruit basket,25
Give up driving for a week,-40,Get a monthly public transport pass,40
